CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,UKRAINE POSITION,UKRAINE LAP TIME,UKRAINE ELAPSED TIME
1,12.95,12.95,2,13.04,13.04,3,13.16,13.16,4,13.25,13.25
1,10.07,23.02,2,10.12,23.16,3,10.10,23.26,4,10.12,23.37
1,9.67,32.69,2,9.67,32.83,3,9.71,32.97,4,9.72,33.09
1,9.60,42.29,2,9.58,42.41,3,9.45,42.42,4,9.61,42.70
1,9.58,51.87,2,9.64,52.05,3,9.72,52.14,4,9.60,52.30
1,9.49,1:01.36,2,9.44,1:01.49,3,9.39,1:01.53,4,9.40,1:01.70
1,9.56,1:10.92,3,9.66,1:11.15,2,9.53,1:11.06,4,9.60,1:11.30
2,9.56,1:20.48,3,9.48,1:20.63,1,9.35,1:20.41,4,9.50,1:20.80
1,9.21,1:29.69,3,9.21,1:29.84,2,9.36,1:29.77,4,9.19,1:29.99
2,9.41,1:39.10,3,9.39,1:39.23,1,9.26,1:39.03,4,9.57,1:39.56
2,9.41,1:48.51,3,9.45,1:48.68,1,9.37,1:48.40,4,9.37,1:48.93
3,9.56,1:58.07,2,9.32,1:58.00,1,9.56,1:57.96,4,9.31,1:58.24
3,9.19,2:07.26,2,9.20,2:07.20,1,9.23,2:07.19,4,9.26,2:07.50
2,9.26,2:16.52,3,9.48,2:16.68,1,9.07,2:16.26,4,9.45,2:16.95
1,9.03,2:25.55,3,9.12,2:25.80,2,9.40,2:25.66,4,9.07,2:26.02
2,9.37,2:34.92,3,9.25,2:35.05,1,9.17,2:34.83,4,9.21,2:35.23
2,9.35,2:44.27,3,9.34,2:44.39,1,9.34,2:44.17,4,9.32,2:44.55
2,9.52,2:53.79,4,9.55,2:53.94,1,9.61,2:53.78,3,9.32,2:53.87
2,9.32,3:03.11,3,9.26,3:03.20,1,9.28,3:03.06,4,9.56,3:03.43
2,9.39,3:12.50,3,9.40,3:12.60,1,9.25,3:12.31,4,9.52,3:12.95
2,9.18,3:21.68,3,9.21,3:21.81,1,9.31,3:21.62,4,9.13,3:22.08
2,9.51,3:31.19,3,9.51,3:31.32,1,9.49,3:31.11,4,9.41,3:31.49
1,9.36,3:40.55,3,9.45,3:40.77,2,9.50,3:40.61,4,9.44,3:40.93
1,9.28,3:49.83,3,9.45,3:50.22,2,9.30,3:49.91,4,9.30,3:50.23
1,9.37,3:59.20,3,9.16,3:59.38,2,9.40,3:59.31,4,9.45,3:59.68
1,9.35,4:08.55,3,9.36,4:08.74,2,9.33,4:08.64,4,9.48,4:09.16
2,9.40,4:17.95,3,9.32,4:18.06,1,9.30,4:17.94,4,9.24,4:18.40
1,8.81,4:26.76,2,8.95,4:27.01,3,9.08,4:27.02,4,9.23,4:27.63
1,9.10,4:35.86,2,9.14,4:36.15,3,9.28,4:36.30,4,9.44,4:37.07
1,9.04,4:44.90,2,8.93,4:45.08,3,8.94,4:45.24,4,9.61,4:46.68
1,8.70,4:53.60,3,9.02,4:54.10,2,8.86,4:54.10,4,8.96,4:55.64
1,9.43,5:03.03,3,9.40,5:03.50,2,9.08,5:03.18,4,10.84,5:06.48
1,8.93,5:11.96,3,8.94,5:12.44,2,8.92,5:12.10,4,8.93,5:15.41
1,8.99,5:20.95,2,8.65,5:21.09,3,9.06,5:21.16,4,9.20,5:24.61
1,9.11,5:30.06,3,9.48,5:30.57,2,9.15,5:30.31,4,9.58,5:34.19
1,8.97,5:39.03,3,9.05,5:39.62,2,9.07,5:39.38,4,10.97,5:45.16
1,9.24,5:48.27,3,9.15,5:48.77,2,8.97,5:48.35,4,9.54,5:54.70
2,9.21,5:57.48,3,9.19,5:57.96,1,8.98,5:57.33,4,9.35,6:04.05
2,8.90,6:06.38,3,9.00,6:06.96,1,8.96,6:06.29,4,9.71,6:13.76
2,9.17,6:15.55,3,9.01,6:15.97,1,9.18,6:15.47,4,10.11,6:23.87
1,9.11,6:24.66,3,9.15,6:25.12,2,9.33,6:24.80,4,9.53,6:33.40
1,9.17,6:33.83,3,9.18,6:34.30,2,9.12,6:33.92,4,10.22,6:43.62
2,9.35,6:43.18,3,9.23,6:43.53,1,9.11,6:43.03,4,10.40,6:54.02
2,9.08,6:52.26,3,9.30,6:52.83,1,8.87,6:51.90,4,9.81,7:03.83
2,8.86,7:01.113,3,9.37,7:02.200,1,9.08,7:00.978,4,10.07,7:13.895
