Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Janis PIUSS POSITION,Janis PIUSS LAP TIME,Janis PIUSS ELAPSED TIME
5,9.36,9.36,6,9.47,9.47,4,9.24,9.24,3,9.12,9.12,2,9.02,9.02,1,8.84,8.84
5,13.81,23.17,6,13.84,23.31,4,13.83,23.07,3,13.80,22.92,2,13.76,22.78,1,13.84,22.68
5,12.84,36.01,6,12.83,36.14,4,12.82,35.89,3,12.83,35.75,1,12.74,35.52,2,12.95,35.63
1,11.86,47.87,6,12.21,48.35,4,12.28,48.17,5,12.50,48.25,2,12.47,47.99,3,12.48,48.11
1,10.83,58.70,6,10.86,59.21,2,10.65,58.82,5,10.82,59.07,3,10.92,58.91,4,10.88,58.99
3,10.78,1:09.48,6,10.70,1:09.91,1,10.60,1:09.42,5,10.71,1:09.78,4,10.74,1:09.65,2,10.43,1:09.42
3,9.75,1:19.23,6,9.67,1:19.58,2,9.68,1:19.10,5,9.66,1:19.44,4,9.70,1:19.35,1,9.52,1:18.94
3,9.70,1:28.93,6,9.70,1:29.28,1,9.68,1:28.78,5,9.68,1:29.12,4,9.69,1:29.04,2,9.87,1:28.81
4,9.65,1:38.58,6,9.52,1:38.80,1,9.62,1:38.40,3,9.45,1:38.57,5,9.55,1:38.59,2,9.71,1:38.52
3,9.54,1:48.12,6,9.69,1:48.49,1,9.52,1:47.92,2,9.42,1:47.99,4,9.60,1:48.19,5,9.89,1:48.41
4,9.27,1:57.39,5,9.98,1:58.47,1,9.29,1:57.21,2,9.28,1:57.27,3,9.10,1:57.29,6,23.24,2:11.65
3,9.26,2:06.65,5,10.49,2:08.96,2,9.22,2:06.43,1,9.13,2:06.40,4,9.42,2:06.71,6,17.07,2:28.72
4,9.28,2:15.93,5,11.25,2:20.21,2,9.11,2:15.54,1,8.97,2:15.37,3,9.20,2:15.91,6,13.07,2:41.79
4,9.57,2:25.495,5,13.01,2:33.214,2,9.04,2:24.579,1,9.01,2:24.373,3,9.48,2:25.385,6,12.17,2:53.956
