Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Koen HAKKENBERG POSITION,Koen HAKKENBERG LAP TIME,Koen HAKKENBERG ELAPSED TIME
1,6.85,6.85,2,7.08,7.08,3,7.23,7.23,4,7.41,7.41
1,9.22,16.07,2,9.16,16.24,3,9.17,16.40,4,9.24,16.65
1,8.90,24.97,2,8.78,25.02,3,8.75,25.15,4,8.85,25.50
1,9.54,34.51,2,9.56,34.58,3,9.51,34.66,4,9.41,34.91
3,9.09,43.599,1,8.86,43.431,4,8.95,43.605,2,8.64,43.541
