Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Stephen LEE POSITION,Stephen LEE LAP TIME,Stephen LEE ELAPSED TIME
2,9.656,9.656,1,9.592,9.592,3,9.783,9.783,4,10.033,10.033,5,10.225,10.225
1,14.471,24.127,2,14.720,24.312,4,14.671,24.454,3,14.407,24.440,5,14.398,24.622
2,13.991,38.118,1,13.656,37.967,3,13.926,38.379,4,14.015,38.454,5,14.056,38.678
3,13.534,51.652,1,13.407,51.374,2,13.222,51.601,4,13.236,51.689,5,13.232,51.909
3,11.905,1:03.557,2,12.068,1:03.442,4,12.128,1:03.729,5,12.213,1:03.902,1,11.365,1:03.274
4,10.859,1:14.416,3,10.898,1:14.339,2,10.561,1:14.290,5,10.668,1:14.569,1,10.986,1:14.260
3,10.184,1:24.600,4,10.408,1:24.747,1,10.139,1:24.428,5,10.770,1:25.338,2,10.322,1:24.581
5,10.344,1:34.944,3,9.915,1:34.661,2,10.094,1:34.522,1,9.180,1:34.517,4,10.308,1:34.889
4,9.865,1:44.808,3,9.997,1:44.657,2,10.002,1:44.524,1,9.898,1:44.415,5,10.002,1:44.890
5,9.657,1:54.465,3,9.698,1:54.355,1,9.669,1:54.192,2,9.788,1:54.203,4,9.575,1:54.464
4,9.363,2:03.827,3,9.262,2:03.616,2,9.189,2:03.380,1,9.128,2:03.331,5,9.378,2:03.842
5,9.560,2:13.387,3,9.166,2:12.782,1,9.094,2:12.474,2,9.165,2:12.495,4,9.542,2:13.384
4,9.082,2:22.469,3,9.051,2:21.832,2,9.160,2:21.634,1,9.132,2:21.627,5,9.884,2:23.267
4,9.99,2:32.456,3,9.53,2:31.355,2,9.66,2:31.290,1,9.60,2:31.223,5,10.46,2:33.724
