Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Azamat SULTANALIYEV POSITION,Azamat SULTANALIYEV LAP TIME,Azamat SULTANALIYEV ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
2,6.980,6.980,3,7.140,7.140,1,6.900,6.900,4,7.300,7.300
1,9.240,16.220,3,9.160,16.310,2,9.360,16.260,4,9.100,16.410
1,8.730,24.950,4,9.120,25.430,2,9.070,25.330,3,8.970,25.390
1,9.220,34.170,2,9.010,34.450,4,9.390,34.730,3,9.250,34.640
1,9.160,43.340,2,9.380,43.840,4,9.690,44.430,3,9.510,44.160
