Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME,Veronika DENES POSITION,Veronika DENES LAP TIME,Veronika DENES ELAPSED TIME
1,8.94,8.94,2,9.20,9.20,4,9.46,9.46,6,9.75,9.75,5,9.66,9.66,3,9.22,9.22
2,14.03,22.97,3,14.00,23.21,1,13.42,22.88,4,13.57,23.32,6,14.13,23.79,5,14.24,23.47
2,12.09,35.07,5,12.19,35.40,1,12.17,35.06,3,11.85,35.18,6,11.74,35.54,4,11.85,35.33
2,11.63,46.70,3,11.35,46.76,4,11.70,46.77,1,11.51,46.69,6,11.58,47.13,5,11.59,46.92
3,10.87,57.57,2,10.74,57.50,1,10.65,57.42,4,10.96,57.66,5,10.57,57.70,6,10.86,57.78
2,10.37,1:07.95,3,10.69,1:08.19,1,10.50,1:07.92,4,10.56,1:08.23,6,10.78,1:08.49,5,10.59,1:08.38
1,10.48,1:18.43,3,10.43,1:18.62,2,10.60,1:18.53,4,10.45,1:18.68,6,10.60,1:19.09,5,10.45,1:18.83
1,11.07,1:29.51,3,11.12,1:29.75,2,11.06,1:29.60,4,11.21,1:29.89,6,10.99,1:30.09,5,11.12,1:29.96
1,10.95,1:40.47,3,10.94,1:40.69,2,10.94,1:40.54,4,10.94,1:40.84,6,11.10,1:41.19,5,10.97,1:40.93
1,10.63,1:51.10,3,10.73,1:51.42,2,10.73,1:51.28,5,10.72,1:51.56,6,10.53,1:51.73,4,10.59,1:51.53
1,10.44,2:01.55,3,10.40,2:01.83,2,10.37,2:01.65,5,10.46,2:02.03,6,10.57,2:02.30,4,10.49,2:02.02
2,10.31,2:11.86,0,,,1,10.07,2:11.72,3,10.07,2:12.11,5,10.24,2:12.54,4,10.25,2:12.27
2,9.85,2:21.71,3,0.00,2:21.90,1,9.90,2:21.62,4,9.96,2:22.07,6,10.33,2:22.87,5,10.40,2:22.67
2,10.38,2:32.087,3,10.25,2:32.144,1,10.39,2:32.006,4,10.12,2:32.181,6,10.69,2:33.559,5,10.82,2:33.482
