Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,Myukerrem TOP POSITION,Myukerrem TOP LAP TIME,Myukerrem TOP ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME
3,14.28,14.28,2,14.15,14.15,4,14.52,14.52,1,14.03,14.03
3,10.66,24.94,2,10.67,24.82,4,10.53,25.05,1,10.67,24.70
3,10.58,35.52,2,10.60,35.42,4,10.57,35.62,1,10.59,35.29
3,10.16,45.68,2,10.16,45.58,4,10.16,45.78,1,10.20,45.49
3,9.87,55.55,2,9.88,55.46,4,9.86,55.64,1,9.87,55.36
1,10.47,1:06.02,3,17.70,1:13.16,2,10.85,1:06.49,4,19.18,1:14.54
1,10.42,1:16.44,3,15.10,1:28.26,2,10.27,1:16.76,4,15.53,1:30.07
1,10.44,1:26.88,3,11.99,1:40.25,2,10.40,1:27.16,4,12.10,1:42.17
0,,PEN,2,12.08,1:52.327,1,10.71,1:37.867,3,11.91,1:54.077
