GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME,UNITED STATES POSITION,UNITED STATES LAP TIME,UNITED STATES ELAPSED TIME
1,12.62,,2,12.71,12.71,3,12.73,12.73,4,12.85,12.85
1,9.24,,3,9.44,22.15,2,9.32,22.05,4,9.45,22.30
1,9.31,,3,9.20,31.35,2,9.22,31.27,4,9.17,31.47
1,9.55,,3,9.51,40.86,2,9.47,40.74,4,9.49,40.96
3,9.53,,2,9.37,50.23,1,9.30,50.04,4,9.47,50.43
3,9.34,,2,9.21,59.44,1,9.10,59.14,4,9.22,59.65
2,9.01,,2,9.16,1:08.60,1,9.35,1:08.49,4,9.07,1:08.72
2,9.25,,3,9.35,1:17.95,1,9.24,1:17.73,4,9.32,1:18.04
2,9.27,,3,9.28,1:27.23,1,9.20,1:26.93,4,9.31,1:27.35
2,9.41,,3,9.37,1:36.60,1,9.32,1:36.25,4,9.36,1:36.71
3,9.58,,2,9.48,1:46.08,1,9.22,1:45.47,4,9.52,1:46.23
3,15.23,,2,9.38,1:55.46,1,9.20,1:54.67,4,16.17,2:02.40
3,10.33,,2,9.29,2:04.75,1,9.30,2:03.97,4,9.68,2:12.08
4,10.38,,2,9.15,2:13.90,1,9.40,2:13.37,3,9.45,2:21.53
4,10.24,,2,9.18,2:23.08,1,9.27,2:22.64,3,10.06,2:31.59
4,9.49,,2,9.32,2:32.40,1,9.65,2:32.29,3,9.92,2:41.51
3,9.39,,2,9.46,2:41.86,1,9.47,2:41.76,4,9.70,2:51.21
3,9.25,,1,9.41,2:51.27,2,9.59,2:51.35,4,9.75,3:00.96
3,9.55,,1,9.30,3:00.57,2,9.40,3:00.75,4,9.35,3:10.31
4,10.07,,1,9.45,3:10.02,2,9.33,3:10.08,3,9.69,3:20.00
4,9.93,,1,9.56,3:19.58,2,9.64,3:19.72,3,9.81,3:29.81
4,9.62,,1,9.31,3:28.89,2,9.22,3:28.94,3,9.60,3:39.41
4,9.12,,1,9.21,3:38.10,2,9.52,3:38.46,3,9.29,3:48.70
3,9.15,,1,9.25,3:47.35,2,9.35,3:47.81,4,9.44,3:58.14
4,9.66,,1,9.29,3:56.64,2,9.27,3:57.08,3,9.26,4:07.40
4,10.40,,1,9.55,4:06.19,2,9.18,4:06.26,3,9.75,4:17.15
4,10.87,,2,9.72,4:15.899,1,9.39,4:15.647,3,10.03,4:27.172
