CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Veronika WINDISCH POSITION,Veronika WINDISCH LAP TIME,Veronika WINDISCH ELAPSED TIME,LIU Cuijia POSITION,LIU Cuijia LAP TIME,LIU Cuijia ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Agnieszka BAWERNA POSITION,Agnieszka BAWERNA LAP TIME,Agnieszka BAWERNA ELAPSED TIME,Cherise WILKINS POSITION,Cherise WILKINS LAP TIME,Cherise WILKINS ELAPSED TIME
0,11.301,11.301,0,11.661,11.661,0,11.064,11.064,0,11.349,11.349,0,10.652,10.652,0,11.053,11.053
0,15.625,26.926,0,14.439,26.100,0,15.287,26.350,0,15.248,26.597,0,15.282,25.934,0,15.501,26.554
0,13.986,40.912,0,13.938,40.038,0,14.027,40.377,0,13.974,40.571,0,14.223,40.157,0,14.016,40.570
0,13.695,54.606,0,13.675,53.713,0,13.707,54.084,0,13.836,54.407,0,13.782,53.938,0,13.750,54.319
0,13.446,1:08.053,0,13.371,1:07.085,0,13.316,1:07.399,0,13.329,1:07.736,0,13.350,1:07.288,0,13.304,1:07.623
0,12.045,1:20.098,0,12.273,1:19.358,0,12.239,1:19.638,0,12.121,1:19.858,0,12.156,1:19.444,0,12.136,1:19.759
0,10.930,1:31.027,0,10.927,1:30.285,0,10.960,1:30.598,0,10.987,1:30.844,0,11.014,1:30.457,0,10.973,1:30.732
0,10.518,1:41.546,0,10.591,1:40.876,0,10.600,1:41.198,0,10.549,1:41.394,0,10.568,1:41.025,0,10.582,1:41.314
0,10.207,1:51.752,0,10.147,1:51.023,0,10.170,1:51.368,0,10.118,1:51.511,0,10.186,1:51.211,0,10.201,1:51.514
0,10.166,2:01.919,0,10.147,2:01.170,0,10.065,2:01.434,0,10.150,2:01.661,0,10.199,2:01.410,0,10.179,2:01.693
0,9.579,2:11.497,0,10.030,2:11.200,0,10.012,2:11.446,0,10.080,2:11.741,0,11.024,2:12.434,0,10.496,2:12.189
0,9.681,2:21.178,0,10.174,2:21.374,0,9.965,2:21.411,0,9.843,2:21.584,0,10.554,2:22.988,0,10.397,2:22.586
0,9.790,2:30.968,0,10.249,2:31.623,0,10.043,2:31.453,0,9.829,2:31.413,0,11.410,2:34.398,0,10.946,2:33.531
0,,,0,,,0,,,0,,,0,,,0,,
