CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME
5,8.60,8.60,3,8.27,8.27,2,8.12,8.12,1,8.07,8.07,4,8.59,8.59
5,10.94,19.54,3,11.10,19.37,2,11.17,19.29,1,11.15,19.22,4,10.92,19.51
1,10.74,30.28,3,11.05,30.42,2,11.11,30.40,4,11.24,30.46,5,11.08,30.59
1,10.76,41.04,3,10.73,41.15,4,10.83,41.23,5,10.83,41.29,2,10.50,41.09
2,10.68,51.72,3,10.67,51.82,4,10.68,51.91,5,10.72,52.01,1,10.55,51.64
2,10.70,1:02.42,4,10.70,1:02.52,3,10.58,1:02.49,5,10.69,1:02.70,1,10.69,1:02.33
3,10.77,1:13.19,4,10.77,1:13.29,2,10.61,1:13.10,5,10.72,1:13.42,1,10.66,1:12.99
1,10.01,1:23.20,4,10.18,1:23.47,2,10.30,1:23.40,5,10.28,1:23.70,3,10.47,1:23.46
1,9.57,1:32.77,3,9.54,1:33.01,2,9.46,1:32.86,4,9.55,1:33.25,5,9.85,1:33.31
1,9.52,1:42.29,3,9.49,1:42.50,2,9.54,1:42.40,4,9.37,1:42.62,5,9.53,1:42.84
1,9.42,1:51.71,3,9.46,1:51.96,2,9.42,1:51.82,4,9.46,1:52.08,5,9.54,1:52.38
1,9.53,2:01.24,3,9.50,2:01.46,2,9.53,2:01.35,4,9.47,2:01.55,5,9.64,2:02.02
1,9.70,2:10.94,3,9.83,2:11.29,2,9.71,2:11.06,4,9.79,2:11.34,5,10.03,2:12.05
1,9.84,2:20.778,0,,PEN,2,9.82,2:20.880,0,,PEN,3,10.43,2:22.471
