Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
2,7.16,7.16,1,6.98,6.98,3,7.24,7.24,4,7.37,7.37
2,9.15,16.31,1,9.26,16.24,3,9.10,16.34,4,9.80,17.17
3,8.96,25.27,1,8.89,25.13,2,8.86,25.20,4,9.84,27.01
3,9.22,34.49,1,9.21,34.34,2,9.21,34.41,4,10.21,37.22
3,9.49,43.976,1,9.44,43.776,2,9.46,43.870,4,10.68,47.899
