Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME
1,6.82,6.82,2,6.95,6.95,4,7.38,7.38,3,7.12,7.12
1,9.19,16.01,4,10.04,17.00,3,9.16,16.54,2,9.14,16.27
2,8.73,24.75,1,7.52,24.52,4,8.46,25.01,3,8.67,24.94
3,8.84,33.59,1,8.77,33.29,2,8.44,33.46,4,8.70,33.64
3,8.84,42.426,1,8.95,42.236,2,8.87,42.326,4,8.96,42.596
