LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME
4,10.41,10.41,1,10.15,10.15,2,10.17,10.17,3,10.33,10.33,5,10.55,10.55,6,10.69,10.69
4,10.69,21.10,2,10.48,20.63,1,10.30,20.47,3,10.66,20.99,5,10.65,21.20,6,10.67,21.36
5,11.22,32.32,2,11.45,32.08,1,11.51,31.98,3,11.21,32.20,4,11.07,32.27,6,11.09,32.45
5,10.15,42.47,2,10.02,42.10,1,10.00,41.98,3,10.02,42.22,4,10.04,42.31,6,10.12,42.57
4,10.68,53.15,2,10.90,53.00,1,10.92,52.90,3,10.89,53.11,5,10.90,53.21,6,10.75,53.32
1,10.61,1:03.76,4,11.04,1:04.04,3,11.04,1:03.94,5,11.02,1:04.13,2,10.64,1:03.85,6,10.94,1:04.26
1,10.76,1:14.52,4,10.64,1:14.68,3,10.73,1:14.67,5,10.63,1:14.76,2,10.77,1:14.62,6,10.71,1:14.97
3,9.95,1:24.47,1,9.41,1:24.09,5,10.09,1:24.76,2,9.45,1:24.21,4,9.96,1:24.58,6,9.93,1:24.90
3,9.75,1:34.22,1,9.85,1:33.94,5,9.66,1:34.42,2,9.86,1:34.07,4,9.74,1:34.32,6,9.67,1:34.57
1,9.47,1:43.69,4,9.87,1:43.81,5,9.60,1:44.02,2,9.69,1:43.76,3,9.47,1:43.79,6,9.63,1:44.20
1,9.15,1:52.84,4,9.29,1:53.10,5,9.17,1:53.19,3,9.22,1:52.98,2,9.12,1:52.91,6,9.15,1:53.35
1,9.26,2:02.10,4,9.37,2:02.47,5,9.53,2:02.72,3,9.32,2:02.30,2,9.27,2:02.18,6,9.46,2:02.81
1,9.45,2:11.55,4,9.47,2:11.94,5,9.79,2:12.51,3,9.45,2:11.75,2,9.44,2:11.62,6,10.03,2:12.84
1,9.16,2:20.708,4,9.42,2:21.360,5,9.66,2:22.163,3,9.21,2:20.956,2,9.16,2:20.777,6,10.51,2:23.350
