Vanessa BELANGER-MARCEAU POSITION,Vanessa BELANGER-MARCEAU LAP TIME,Vanessa BELANGER-MARCEAU ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME
4,13.57,13.57,1,13.18,13.18,2,13.31,13.31,3,13.46,13.46,5,13.89,13.89
4,10.32,23.89,1,10.37,23.55,2,10.37,23.68,3,10.33,23.79,5,10.13,24.02
4,10.30,34.19,1,10.29,33.84,2,10.28,33.96,3,10.32,34.11,5,10.36,34.38
4,10.20,44.39,1,10.22,44.06,2,10.20,44.16,3,10.17,44.28,5,10.09,44.47
4,9.94,54.33,1,9.89,53.95,2,9.90,54.06,3,9.95,54.23,5,9.97,54.44
4,9.71,1:04.04,2,9.75,1:03.70,1,9.63,1:03.69,3,9.76,1:03.99,5,9.77,1:04.21
5,20.99,1:25.03,2,9.64,1:13.34,1,9.54,1:13.23,4,10.22,1:14.21,3,9.61,1:13.82
5,27.31,1:52.34,2,9.60,1:22.94,1,9.58,1:22.81,4,11.05,1:25.26,3,9.49,1:23.31
5,18.37,2:10.707,2,9.79,1:32.727,1,9.83,1:32.631,4,11.96,1:37.211,3,9.55,1:32.852
