Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Casey MULLARKEY POSITION,Casey MULLARKEY LAP TIME,Casey MULLARKEY ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME
1,13.55,13.55,2,13.68,13.68,3,13.82,13.82,4,13.92,13.92
1,10.65,24.20,2,10.67,24.35,3,10.67,24.49,4,10.66,24.58
1,10.37,34.57,2,10.34,34.69,3,10.31,34.80,4,10.34,34.92
1,9.60,44.17,3,9.74,44.43,2,9.50,44.30,4,9.61,44.53
2,9.28,53.45,1,8.93,53.36,4,9.26,53.56,3,8.96,53.49
4,9.24,1:02.69,1,8.86,1:02.22,3,8.98,1:02.54,2,8.81,1:02.30
4,8.86,1:11.55,1,8.80,1:11.02,3,8.82,1:11.36,2,8.82,1:11.12
4,8.89,1:20.44,1,8.93,1:19.95,3,8.91,1:20.27,2,8.83,1:19.95
3,22.67,1:43.105,0,,PEN,2,9.11,1:29.380,1,9.35,1:29.299
