Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,OH Se-Jong POSITION,OH Se-Jong LAP TIME,OH Se-Jong ELAPSED TIME,LI Haonan POSITION,LI Haonan LAP TIME,LI Haonan ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME
5,9.376,9.376,4,9.354,9.354,6,9.397,9.397,2,8.974,8.974,1,8.887,8.887,3,9.218,9.218
6,13.071,22.446,5,12.667,22.021,4,12.561,21.957,2,12.696,21.670,3,13.019,21.906,1,12.230,21.448
6,11.667,34.112,5,11.788,33.809,4,11.778,33.734,3,11.886,33.556,2,11.566,33.471,1,11.971,33.418
5,11.220,45.332,3,11.260,45.068,6,11.649,45.383,4,11.587,45.142,1,11.166,44.636,2,11.449,44.867
4,10.687,56.019,3,10.773,55.841,6,10.739,56.122,5,10.954,56.096,1,10.876,55.512,2,10.881,55.747
6,9.829,1:05.847,1,9.580,1:05.421,4,9.522,1:05.643,3,9.439,1:05.534,2,9.925,1:05.437,5,10.084,1:05.831
5,9.327,1:15.174,1,9.222,1:14.642,6,11.301,1:16.944,2,9.394,1:14.928,3,9.567,1:15.003,4,9.259,1:15.089
5,9.333,1:24.507,1,9.511,1:24.153,6,7.573,1:24.517,3,9.411,1:24.339,2,9.271,1:24.273,4,9.392,1:24.480
6,9.340,1:33.846,1,9.211,1:33.364,3,9.232,1:33.748,2,9.261,1:33.600,4,9.513,1:33.785,5,9.336,1:33.816
6,9.328,1:43.173,1,9.158,1:42.522,5,9.312,1:43.059,2,9.302,1:42.901,4,9.257,1:43.042,3,9.153,1:42.968
6,9.432,1:52.605,2,9.387,1:51.908,5,9.331,1:52.390,1,9.003,1:51.904,3,9.023,1:52.064,4,9.145,1:52.112
6,9.241,2:01.846,2,9.163,2:01.070,5,9.194,2:01.583,1,9.151,2:01.055,4,9.469,2:01.532,3,9.027,2:01.139
6,10.395,2:12.240,1,9.096,2:10.166,4,9.354,2:10.936,2,9.426,2:10.480,5,9.593,2:11.125,3,9.708,2:10.847
6,9.13,2:21.370,1,8.98,2:19.140,3,8.76,2:19.694,2,9.08,2:19.557,5,9.02,2:20.142,4,9.26,2:20.100
