Teppei KIKUCHI POSITION,Teppei KIKUCHI LAP TIME,Teppei KIKUCHI ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Jasper BRUNSMANN POSITION,Jasper BRUNSMANN LAP TIME,Jasper BRUNSMANN ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME
1,6.85,6.85,4,7.31,7.31,2,6.99,6.99,3,7.09,7.09,5,15.62,15.62
4,16.61,23.46,3,8.88,16.19,2,8.96,15.95,1,8.77,15.86,5,14.17,29.79
4,13.93,37.39,3,8.33,24.52,2,8.43,24.38,1,8.25,24.11,5,9.39,39.18
4,9.42,46.81,3,8.32,32.84,2,8.35,32.73,1,8.27,32.38,5,8.93,48.11
4,9.30,56.11,3,8.54,41.38,2,8.58,41.31,1,8.33,40.71,5,9.15,57.26
