Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,Nikolay FEDORENKO POSITION,Nikolay FEDORENKO LAP TIME,Nikolay FEDORENKO ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME,LIU Ying Bao POSITION,LIU Ying Bao LAP TIME,LIU Ying Bao ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME
1,6.687,6.687,5,7.328,7.328,3,7.160,7.160,2,7.028,7.028,4,7.171,7.171
1,9.269,15.955,5,9.571,16.899,3,9.273,16.432,2,9.184,16.212,4,9.372,16.543
1,9.151,25.106,5,9.254,26.152,3,9.040,25.472,2,9.119,25.330,4,9.156,25.699
2,9.478,34.583,5,9.454,35.605,3,9.219,34.690,1,8.990,34.320,4,9.096,34.795
2,9.66,44.236,4,9.75,45.346,0,,DQ,1,9.71,44.027,3,9.57,44.356
