KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME
2,6.97,6.97,1,6.91,6.91,4,7.25,7.25,5,7.83,7.83,3,7.07,7.07
2,9.22,16.19,1,8.97,15.88,3,9.00,16.25,5,10.06,17.89,4,9.21,16.28
4,8.90,25.09,1,8.51,24.39,2,8.48,24.73,5,9.66,27.55,3,8.68,24.96
4,8.80,33.89,1,8.60,32.99,2,8.50,33.23,5,9.79,37.34,3,8.55,33.51
4,9.19,43.08,1,8.81,41.80,2,8.63,41.86,5,10.24,47.58,3,8.44,41.95
