Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
1,14.87,14.87,2,15.16,15.16,3,15.27,15.27,4,15.41,15.41
2,11.42,26.30,4,11.25,26.41,3,11.12,26.39,1,10.83,26.24
1,10.23,36.53,3,10.35,36.77,2,10.25,36.64,4,10.86,37.10
4,10.00,46.53,2,9.53,46.31,1,9.45,46.10,3,9.32,46.43
4,9.42,55.96,3,9.57,55.89,2,9.76,55.86,1,9.19,55.62
3,9.31,1:05.27,4,9.43,1:05.33,1,9.23,1:05.10,2,9.56,1:05.18
3,9.17,1:14.45,4,9.13,1:14.46,2,9.23,1:14.33,1,9.08,1:14.26
1,8.89,1:23.34,2,8.98,1:23.44,4,9.40,1:23.74,3,9.20,1:23.47
3,9.54,1:32.876,1,9.23,1:32.661,0,,DQ,2,9.37,1:32.832
