Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,YU Jiyang POSITION,YU Jiyang LAP TIME,YU Jiyang ELAPSED TIME,Andrey MIKHASIOV POSITION,Andrey MIKHASIOV LAP TIME,Andrey MIKHASIOV ELAPSED TIME,Eduardo ALVAREZ POSITION,Eduardo ALVAREZ LAP TIME,Eduardo ALVAREZ ELAPSED TIME
2,6.91,6.91,1,6.77,6.77,3,7.00,7.00,4,7.20,7.20
2,8.83,15.74,1,8.91,15.68,3,8.84,15.84,4,8.80,16.00
2,8.61,24.35,1,8.58,24.26,4,8.67,24.51,3,8.43,24.43
4,29.27,53.62,1,8.74,33.00,3,8.85,33.36,2,8.69,33.12
4,17.66,1:11.279,1,9.01,42.001,3,9.13,42.486,2,9.01,42.124
