Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Marielle LOOTSMA POSITION,Marielle LOOTSMA LAP TIME,Marielle LOOTSMA ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME
3,19.342,19.342,2,19.291,19.291,4,19.389,19.389,1,19.154,19.154
4,12.886,32.228,1,12.637,31.928,2,12.594,31.983,3,13.060,32.213
1,11.472,43.699,2,11.978,43.906,3,12.012,43.994,4,11.822,44.035
2,11.218,54.917,3,11.245,55.150,1,10.920,54.914,4,11.118,55.152
2,10.736,1:05.652,4,10.703,1:05.852,1,10.722,1:05.636,3,10.631,1:05.783
1,9.895,1:15.547,3,9.758,1:15.610,2,9.921,1:15.556,4,9.858,1:15.641
1,9.645,1:25.192,4,10.063,1:25.672,2,9.738,1:25.294,3,9.689,1:25.329
1,9.758,1:34.949,4,9.822,1:35.494,3,9.767,1:35.061,2,9.700,1:35.029
1,9.94,1:44.889,4,10.21,1:45.702,2,9.96,1:45.016,3,10.00,1:45.023
