HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
1,6.72,6.72,4,7.03,7.03,2,6.72,6.72,3,7.01,7.01
2,8.92,15.64,3,8.85,15.88,1,8.74,15.47,4,9.03,16.04
2,8.49,24.14,3,8.46,24.34,1,8.53,24.00,4,8.63,24.67
2,8.64,32.79,3,8.53,32.88,1,8.73,32.74,4,8.92,33.59
1,8.98,41.766,2,8.98,41.856,3,9.21,41.948,4,9.54,43.122
