Anouk ZOUTENDIJK POSITION,Anouk ZOUTENDIJK LAP TIME,Anouk ZOUTENDIJK ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
0,9.092,9.092,0,9.490,9.490,0,9.356,9.356,0,9.061,9.061,0,9.083,9.083
0,12.614,21.707,0,11.571,21.061,0,11.967,21.323,0,12.337,21.399,0,12.395,21.478
0,10.838,32.544,0,10.979,32.040,0,10.995,32.319,0,10.416,31.815,0,10.825,32.304
0,10.356,42.900,0,10.657,42.697,0,10.594,42.912,0,10.731,42.546,0,10.610,42.913
0,10.889,53.789,0,10.794,53.491,0,10.697,53.609,0,11.031,53.576,0,10.724,53.637
0,10.404,1:04.193,0,10.678,1:04.168,0,10.598,1:04.207,0,10.644,1:04.220,0,10.438,1:04.075
0,10.737,1:14.930,0,10.541,1:14.709,0,10.773,1:14.980,0,10.840,1:15.061,0,10.698,1:14.773
0,10.649,1:25.579,0,10.522,1:25.231,0,10.548,1:25.528,0,10.485,1:25.546,0,10.603,1:25.377
0,10.794,1:36.373,0,10.752,1:35.983,0,10.698,1:36.226,0,10.820,1:36.366,0,10.782,1:36.159
0,10.651,1:47.024,0,10.756,1:46.739,0,10.818,1:47.044,0,10.706,1:47.072,0,10.786,1:46.945
0,10.995,1:58.019,0,10.914,1:57.653,0,10.909,1:57.953,0,10.885,1:57.957,0,10.852,1:57.797
0,10.785,2:08.804,0,10.928,2:08.581,0,10.888,2:08.841,0,11.045,2:09.002,0,10.954,2:08.751
0,11.967,2:20.771,0,11.163,2:19.745,0,10.530,2:19.371,0,10.599,2:19.601,0,10.427,2:19.179
0,12.733,2:33.504,0,11.508,2:31.252,0,10.806,2:30.178,0,10.759,2:30.359,0,10.782,2:29.960
