Anna ROMANOWICZ POSITION,Anna ROMANOWICZ LAP TIME,Anna ROMANOWICZ ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME
3,13.670,13.670,2,13.270,13.270,4,13.940,13.940,1,13.250,13.250
2,10.070,23.740,1,10.050,23.320,3,10.050,23.990,4,20.810,34.060
2,9.910,33.650,1,9.890,33.210,3,9.660,33.660,0,,
4,10.120,43.780,2,10.050,43.270,3,9.860,43.530,1,0.000,42.830
3,9.610,53.390,1,9.530,52.800,4,10.060,53.590,2,10.140,52.980
4,10.370,1:03.760,1,10.180,1:02.980,3,9.900,1:03.490,2,10.070,1:03.050
4,9.790,1:13.560,3,10.280,1:13.260,2,9.430,1:12.930,1,9.790,1:12.850
4,10.380,1:23.940,3,10.120,1:23.390,1,9.260,1:22.190,2,9.700,1:22.550
4,10.600,1:34.540,3,10.810,1:34.210,1,9.650,1:31.840,2,10.130,1:32.690
