THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Sayuri SHIMIZU POSITION,Sayuri SHIMIZU LAP TIME,Sayuri SHIMIZU ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
2,7.70,7.70,1,7.70,7.70,4,7.86,7.86,3,7.79,7.79
3,10.09,17.79,1,9.59,17.29,2,9.88,17.74,4,10.08,17.87
3,9.41,27.20,1,9.10,26.39,2,9.23,26.97,4,9.33,27.20
3,9.72,36.92,1,9.29,35.68,2,9.33,36.30,4,9.73,36.93
4,9.95,46.867,1,9.53,45.210,2,9.63,45.926,3,9.91,46.831
