Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME
1,12.67,12.67,4,12.99,12.99,2,12.75,12.75,3,12.90,12.90
1,9.85,22.52,4,9.84,22.83,2,9.85,22.60,3,9.83,22.73
1,9.52,32.04,4,9.63,32.46,2,9.54,32.14,3,9.56,32.29
1,9.19,41.23,4,9.08,41.54,2,9.22,41.36,3,9.16,41.45
4,10.40,51.63,3,9.08,50.62,1,9.12,50.48,2,9.08,50.53
4,30.09,1:21.72,3,9.26,59.88,1,9.33,59.81,2,9.30,59.83
4,14.28,1:36.00,2,9.17,1:09.05,3,9.25,1:09.06,1,8.97,1:08.80
4,10.80,1:46.80,2,9.31,1:18.36,3,9.44,1:18.50,1,9.14,1:17.94
4,9.88,1:56.671,2,9.50,1:27.859,3,9.40,1:27.892,1,9.54,1:27.476
