HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
1,12.38,12.38,2,12.51,12.51,3,12.61,12.61,4,12.66,12.66
1,9.46,21.84,2,9.41,21.92,3,9.40,22.01,4,9.44,22.10
1,9.32,31.16,2,9.37,31.29,3,9.35,31.36,4,9.37,31.47
1,9.28,40.44,2,9.22,40.51,3,9.24,40.60,4,9.25,40.72
1,9.16,49.60,2,9.12,49.63,3,9.14,49.74,4,9.10,49.82
4,9.26,58.86,1,8.75,58.38,2,8.77,58.51,3,8.80,58.62
4,8.80,1:07.66,1,8.92,1:07.30,2,8.92,1:07.43,3,8.90,1:07.52
4,8.98,1:16.64,1,9.10,1:16.40,2,9.01,1:16.44,3,9.05,1:16.57
4,19.45,1:36.086,1,9.37,1:25.766,2,9.44,1:25.880,3,19.05,1:35.620
