Kei SAITO POSITION,Kei SAITO LAP TIME,Kei SAITO ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Tomas GIACOMELLI POSITION,Tomas GIACOMELLI LAP TIME,Tomas GIACOMELLI ELAPSED TIME
1,8.09,8.09,4,8.55,8.55,5,8.68,8.68,2,8.20,8.20,3,8.39,8.39
1,11.33,19.42,4,11.22,19.77,5,11.19,19.87,2,11.29,19.49,3,11.27,19.66
1,11.08,30.50,4,11.04,30.81,5,11.05,30.92,2,11.12,30.61,3,11.03,30.69
1,10.94,41.44,4,10.94,41.75,5,10.93,41.85,2,10.91,41.52,3,10.95,41.64
1,10.94,52.38,4,10.94,52.69,5,10.94,52.79,2,10.96,52.48,3,10.94,52.58
1,10.74,1:03.12,3,10.58,1:03.27,5,10.63,1:03.42,2,10.68,1:03.16,4,10.73,1:03.31
2,9.83,1:12.95,1,9.61,1:12.88,5,9.81,1:13.23,3,9.84,1:13.00,4,9.84,1:13.15
1,9.77,1:22.72,2,9.94,1:22.82,5,9.88,1:23.11,3,9.90,1:22.90,4,9.86,1:23.01
1,9.45,1:32.17,2,9.44,1:32.26,5,9.42,1:32.53,3,9.43,1:32.33,4,9.44,1:32.45
1,9.35,1:41.52,2,9.40,1:41.66,5,9.43,1:41.96,3,9.39,1:41.72,4,9.36,1:41.81
1,9.47,1:50.99,2,9.46,1:51.12,5,9.56,1:51.52,3,9.49,1:51.21,4,9.56,1:51.37
1,9.51,2:00.50,3,9.46,2:00.58,5,9.67,2:01.19,2,9.32,2:00.53,4,9.46,2:00.83
1,9.66,2:10.16,3,9.75,2:10.33,4,9.80,2:10.99,2,9.68,2:10.21,5,10.18,2:11.01
2,9.97,2:20.128,1,9.59,2:19.916,4,10.00,2:20.983,3,10.07,2:20.278,5,11.38,2:22.390
