Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,LEE Yu Bin POSITION,LEE Yu Bin LAP TIME,LEE Yu Bin ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME
1,12.57,12.57,5,13.37,13.37,2,12.68,12.68,3,12.86,12.86,4,13.36,13.36
1,9.39,21.96,5,9.80,23.17,2,9.37,22.05,3,9.36,22.22,4,9.19,22.55
1,9.45,31.41,5,9.76,32.93,2,9.46,31.51,3,9.40,31.62,4,9.21,31.76
1,9.51,40.92,5,9.95,42.88,2,9.48,40.99,3,9.42,41.04,4,9.44,41.20
3,9.67,50.59,5,10.34,53.22,2,9.58,50.57,1,9.50,50.54,4,9.56,50.76
3,9.69,1:00.28,5,10.88,1:04.10,2,9.52,1:00.09,1,9.46,1:00.00,4,9.71,1:00.47
3,9.70,1:09.98,5,11.40,1:15.50,1,9.75,1:09.84,2,9.86,1:09.86,4,9.70,1:10.17
3,10.02,1:20.00,5,11.70,1:27.20,1,9.67,1:19.51,2,9.98,1:19.84,4,10.03,1:20.20
3,10.13,1:30.13,5,11.94,1:39.145,1,9.99,1:29.50,2,10.09,1:29.93,4,10.25,1:30.454
