Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
4,14.49,14.49,1,14.13,14.13,2,14.25,14.25,3,14.37,14.37,5,14.67,14.67
4,10.80,25.29,1,10.85,24.98,2,10.85,25.10,3,10.76,25.13,5,10.77,25.44
5,10.14,35.43,2,10.11,35.09,4,10.11,35.21,1,9.91,35.04,3,9.75,35.19
5,9.59,45.02,2,9.58,44.67,4,9.65,44.86,1,9.52,44.56,3,9.57,44.76
5,9.49,54.51,2,9.53,54.20,4,9.54,54.40,1,9.53,54.09,3,9.54,54.30
5,9.43,1:03.94,1,9.30,1:03.50,4,9.35,1:03.75,1,9.41,1:03.50,3,9.30,1:03.60
5,9.38,1:13.32,1,8.95,1:12.45,3,9.12,1:12.87,4,9.75,1:13.25,2,8.96,1:12.56
5,9.78,1:23.10,2,9.06,1:21.51,3,9.07,1:21.94,4,9.63,1:22.88,1,8.85,1:21.41
5,9.97,1:33.07,2,9.35,1:30.86,3,9.28,1:31.22,4,9.90,1:32.78,1,9.31,1:30.72
