CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Yevgeniy REBIK POSITION,Yevgeniy REBIK LAP TIME,Yevgeniy REBIK ELAPSED TIME
2,8.63,8.63,4,9.10,9.10,5,9.20,9.20,6,9.41,9.41,3,8.96,8.96,1,7.99,7.99
2,9.69,18.32,4,9.58,18.68,5,9.58,18.78,6,9.56,18.97,3,9.62,18.58,1,9.43,17.42
2,8.85,27.17,4,8.80,27.48,5,8.82,27.60,6,8.73,27.70,3,8.80,27.38,1,9.21,26.63
2,9.36,36.53,4,9.24,36.72,5,9.18,36.78,6,9.18,36.88,3,9.28,36.66,1,9.66,36.29
2,10.31,46.84,5,10.48,47.20,6,10.52,47.30,4,10.22,47.10,3,10.35,47.01,1,10.31,46.60
2,9.97,56.81,5,9.88,57.08,6,9.90,57.20,4,9.89,56.99,3,9.89,56.90,1,9.95,56.55
2,10.05,1:06.86,5,10.01,1:07.09,6,9.97,1:07.17,4,10.00,1:06.99,3,10.03,1:06.93,1,10.19,1:06.74
1,10.96,1:17.82,4,10.88,1:17.97,6,10.97,1:18.14,2,10.89,1:17.88,5,11.06,1:17.99,3,11.15,1:17.89
3,10.04,1:27.86,1,9.63,1:27.60,5,9.91,1:28.05,2,9.84,1:27.72,4,9.95,1:27.94,6,10.82,1:28.71
3,9.49,1:37.35,1,9.55,1:37.15,5,9.51,1:37.56,2,9.53,1:37.25,4,9.54,1:37.48,6,10.72,1:39.43
3,9.47,1:46.82,1,9.42,1:46.57,5,9.50,1:47.06,2,9.44,1:46.69,4,9.44,1:46.92,6,11.17,1:50.60
3,9.28,1:56.10,1,9.32,1:55.89,5,9.28,1:56.34,2,9.29,1:55.98,4,9.28,1:56.20,6,11.67,2:02.27
2,9.28,2:05.38,4,9.60,2:05.49,5,9.24,2:05.58,1,9.29,2:05.27,3,9.26,2:05.46,6,11.56,2:13.83
1,8.89,2:14.262,5,10.04,2:15.530,4,9.74,2:15.312,2,9.02,2:14.284,3,9.16,2:14.617,6,10.77,2:24.598
