Eduardo ALVAREZ POSITION,Eduardo ALVAREZ LAP TIME,Eduardo ALVAREZ ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,SIMON_FALSCH Jeffrey POSITION,SIMON_FALSCH Jeffrey LAP TIME,SIMON_FALSCH Jeffrey ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,7.02,7.02,2,7.12,7.12,3,7.26,7.26,4,7.41,7.41
1,9.37,16.39,2,9.38,16.50,4,9.37,16.63,3,9.20,16.61
1,8.70,25.09,2,8.63,25.13,4,8.60,25.23,3,8.60,25.21
3,9.15,34.24,4,16.66,41.79,2,8.98,34.21,1,8.69,33.90
0,,PEN,3,35.62,1:17.408,2,8.89,43.098,1,8.87,42.767
