Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME
2,15.89,15.89,1,15.80,15.80,4,16.22,16.22,3,16.08,16.08,5,16.35,16.35
2,12.59,28.48,1,12.60,28.40,4,12.57,28.79,3,12.57,28.65,5,12.55,28.90
2,12.17,40.65,1,12.19,40.59,4,12.23,41.02,3,12.20,40.85,5,12.20,41.10
1,11.07,51.72,2,11.22,51.81,3,10.93,51.95,3,11.10,51.95,5,11.12,52.22
1,9.90,1:01.62,2,9.90,1:01.71,2,9.76,1:01.71,4,10.00,1:01.95,5,10.13,1:02.35
3,9.65,1:11.27,2,9.49,1:11.20,1,9.39,1:11.10,4,9.49,1:11.44,5,10.19,1:12.54
3,9.55,1:20.82,2,9.52,1:20.72,1,9.54,1:20.64,4,9.51,1:20.95,5,10.62,1:23.16
3,9.72,1:30.54,2,9.72,1:30.44,1,9.69,1:30.33,4,9.71,1:30.66,5,10.86,1:34.02
3,9.94,1:40.462,2,9.84,1:40.263,1,9.85,1:40.170,4,9.90,1:40.542,5,11.12,1:45.109
