Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
2,7.57,7.57,1,7.34,7.34,4,7.74,7.74,3,7.73,7.73,5,7.84,7.84
2,9.74,17.31,1,9.62,16.96,3,9.84,17.58,5,10.16,17.89,4,9.85,17.69
2,9.50,26.81,1,9.23,26.19,3,9.26,26.84,5,9.38,27.27,4,9.37,27.06
4,9.74,36.55,1,9.31,35.50,2,9.29,36.13,5,9.35,36.62,3,9.35,36.41
5,10.03,46.574,1,9.72,45.211,2,9.54,45.667,4,9.51,46.126,3,9.46,45.870
