Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Paul BEAUCHAMP POSITION,Paul BEAUCHAMP LAP TIME,Paul BEAUCHAMP ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME
3,13.01,13.01,1,12.75,12.75,4,13.11,13.11,5,13.32,13.32,2,12.85,12.85
3,9.60,22.61,1,9.64,22.39,4,9.54,22.65,5,9.48,22.80,2,9.63,22.48
3,9.40,32.01,1,9.16,31.55,3,9.36,32.01,5,9.35,32.15,2,9.13,31.61
5,9.56,41.57,1,9.11,40.66,3,9.14,41.15,4,9.13,41.28,2,9.13,40.74
5,9.38,50.95,2,9.08,49.74,4,9.09,50.24,3,8.95,50.23,1,8.94,49.68
5,9.59,1:00.54,2,8.97,58.71,4,9.15,59.39,3,8.89,59.12,1,8.93,58.61
5,9.88,1:10.42,2,9.00,1:07.71,4,9.45,1:08.84,3,9.20,1:08.32,1,9.02,1:07.63
5,10.22,1:20.64,2,9.25,1:16.96,4,9.97,1:18.81,3,9.81,1:18.13,1,9.24,1:16.87
5,10.45,1:31.09,2,9.58,1:26.54,4,10.48,1:29.29,3,10.59,1:28.72,1,9.60,1:26.47
