FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME
1,7.19,7.19,2,7.30,7.30,4,7.66,7.66,3,7.44,7.44,5,7.70,7.70
1,9.32,16.51,2,9.27,16.57,4,9.20,16.86,3,9.21,16.65,5,9.25,16.95
1,8.87,25.38,1,8.81,25.38,4,8.80,25.66,3,8.91,25.56,5,8.78,25.73
2,9.00,34.38,1,8.90,34.28,3,8.84,34.50,3,8.94,34.50,5,8.92,34.65
2,9.03,43.41,1,9.08,43.36,3,8.99,43.49,0,9.08,43.58,5,8.94,43.598
