Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Shinyu FUJIMOTO POSITION,Shinyu FUJIMOTO LAP TIME,Shinyu FUJIMOTO ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
1,8.910,8.910,6,9.950,9.950,3,9.460,9.460,5,9.740,9.740,2,9.070,9.070,4,9.700,9.700
2,13.240,22.150,1,12.170,22.130,4,13.030,22.500,6,13.070,22.810,3,13.320,22.390,5,13.050,22.760
2,10.850,33.000,3,11.040,33.170,5,11.910,34.410,6,11.830,34.650,1,10.560,32.960,4,10.530,33.300
2,11.250,44.250,3,11.160,44.340,5,10.180,44.590,6,10.000,44.650,1,11.040,44.000,4,11.060,44.360
1,11.030,55.290,3,11.180,55.520,6,11.290,55.890,5,11.240,55.890,2,11.440,55.440,4,11.290,55.650
3,11.440,1:06.730,6,11.690,1:07.220,5,11.050,1:06.950,4,10.960,1:06.860,1,10.940,1:06.390,2,10.940,1:06.600
4,11.190,1:17.920,3,10.480,1:17.700,6,11.370,1:18.330,5,11.140,1:18.010,1,10.970,1:17.360,2,11.010,1:17.610
1,9.830,1:27.760,4,10.300,1:28.010,2,9.440,1:27.770,6,10.140,1:28.150,3,10.470,1:27.840,5,10.410,1:28.030
3,9.930,1:37.690,6,9.940,1:37.950,1,9.680,1:37.460,5,9.660,1:37.820,2,9.780,1:37.630,4,9.740,1:37.770
2,9.750,1:47.440,4,10.090,1:48.050,5,10.630,1:48.100,6,10.340,1:48.160,1,9.770,1:47.400,3,9.760,1:47.530
2,9.660,1:57.110,6,9.550,1:57.610,4,9.410,1:57.510,5,9.380,1:57.550,1,9.690,1:57.090,3,9.770,1:57.310
1,9.190,2:06.310,5,9.510,2:07.120,4,9.540,2:07.050,6,9.800,2:07.350,2,9.360,2:06.460,3,9.540,2:06.860
1,10.290,2:16.600,6,10.540,2:17.660,4,9.840,2:16.900,5,9.620,2:16.980,2,10.260,2:16.720,3,10.030,2:16.890
5,16.190,2:32.790,3,10.370,2:28.040,4,12.980,2:29.880,6,20.450,2:37.430,2,10.420,2:27.150,1,9.940,2:26.830
