Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,12.40,12.40,4,12.70,12.70,3,12.56,12.56,1,12.25,12.25
1,9.33,21.73,4,9.28,21.98,3,9.30,21.86,2,9.55,21.80
1,9.52,31.25,4,9.54,31.52,3,9.56,31.42,2,9.53,31.33
1,9.51,40.76,4,9.50,41.02,3,9.50,40.92,2,9.43,40.76
1,9.18,49.94,4,9.21,50.23,3,9.20,50.12,2,9.26,50.02
3,9.27,59.21,4,9.09,59.32,2,9.07,59.19,1,9.11,59.13
3,9.41,1:08.62,4,9.40,1:08.72,2,9.32,1:08.51,1,9.30,1:08.43
3,9.36,1:17.98,4,9.37,1:18.09,2,9.40,1:17.91,1,9.40,1:17.83
3,9.60,1:27.580,0,,DQ,2,9.61,1:27.512,1,9.50,1:27.329
