HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Natallia TSAULIKA POSITION,Natallia TSAULIKA LAP TIME,Natallia TSAULIKA ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME
4,15.77,15.77,2,15.55,15.55,3,15.64,15.64,1,15.44,15.44
1,12.20,27.97,3,12.67,28.22,4,12.70,28.34,2,12.65,28.09
3,11.05,39.02,2,10.68,38.90,4,10.81,39.15,1,10.54,38.63
3,9.94,48.96,2,9.92,48.82,4,9.91,49.06,1,10.05,48.68
3,10.01,58.97,2,10.05,58.87,4,10.05,59.11,1,10.11,58.79
3,10.08,1:09.05,1,9.92,1:08.79,4,10.16,1:09.27,2,10.21,1:09.00
3,9.76,1:18.81,1,9.86,1:18.65,4,10.25,1:19.52,2,9.76,1:18.76
2,9.99,1:28.80,1,10.10,1:28.75,4,10.75,1:30.27,3,10.27,1:29.03
2,10.39,1:39.186,1,10.37,1:39.120,4,11.14,1:41.404,3,10.53,1:39.558
