SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME
1,12.89,12.89,3,13.03,13.03,4,13.09,13.09,5,13.20,,2,12.97,12.97
2,10.07,22.96,4,10.08,23.11,1,9.71,22.80,4,9.91,,3,10.09,23.06
2,9.43,32.39,5,9.60,32.71,1,9.52,32.32,4,9.51,,3,9.45,32.51
2,9.33,41.72,5,9.29,42.00,1,9.32,41.64,3,9.25,,3,9.36,41.87
2,9.48,51.20,4,10.02,52.02,1,9.26,50.90,3,10.13,,5,10.26,52.13
2,9.23,1:00.43,4,9.55,1:01.57,1,9.34,1:00.24,3,9.43,,5,9.68,1:01.81
2,9.35,1:09.78,4,9.21,1:10.78,1,9.35,1:09.59,3,9.19,,5,9.19,1:11.00
2,9.30,1:19.08,4,9.44,1:20.22,1,9.35,1:18.94,3,9.29,,5,9.33,1:20.33
1,9.44,1:28.52,4,9.58,1:29.80,2,9.83,1:28.77,3,9.44,,5,9.68,1:30.01
