KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
2,14.21,14.21,4,14.52,14.52,3,14.35,14.35,1,14.15,14.15
2,10.18,24.39,4,10.00,24.52,3,10.14,24.50,1,10.05,24.21
2,9.43,33.83,4,9.52,34.05,3,9.44,33.94,1,9.42,33.63
2,9.23,43.06,4,9.29,43.34,3,9.24,43.18,1,9.36,42.99
1,9.05,52.11,4,9.06,52.41,3,9.16,52.34,2,9.14,52.13
2,9.03,1:01.15,4,9.04,1:01.45,3,8.97,1:01.32,1,8.97,1:01.11
2,9.08,1:10.24,4,9.15,1:10.61,3,8.99,1:10.31,1,9.05,1:10.16
2,9.23,1:19.47,4,9.26,1:19.87,3,9.36,1:19.68,1,9.17,1:19.33
2,9.30,1:28.765,4,9.77,1:29.637,3,9.13,1:28.810,1,9.32,1:28.650
