Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,KONG Xue POSITION,KONG Xue LAP TIME,KONG Xue ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
3,9.81,9.81,5,10.12,10.12,2,9.67,9.67,1,9.50,9.50,4,9.94,9.94
3,13.72,23.53,5,13.74,23.86,2,13.74,23.41,1,13.79,23.29,4,13.73,23.67
3,12.89,36.42,5,12.91,36.77,2,12.88,36.29,1,12.83,36.12,4,12.83,36.50
3,12.00,48.42,5,11.86,48.63,2,12.02,48.31,1,12.07,48.19,4,12.01,48.51
3,11.94,1:00.36,5,11.90,1:00.53,2,11.95,1:00.26,1,11.94,1:00.13,4,11.94,1:00.45
4,11.80,1:12.16,5,11.63,1:12.16,2,11.77,1:12.03,3,11.92,1:12.05,1,11.48,1:11.93
5,10.39,1:22.55,3,10.28,1:22.44,1,10.20,1:22.23,4,10.49,1:22.54,2,10.40,1:22.33
2,10.06,1:32.61,4,10.35,1:32.79,1,10.35,1:32.58,5,10.39,1:32.93,3,10.33,1:32.66
1,9.75,1:42.36,4,9.87,1:42.66,2,9.88,1:42.46,5,9.98,1:42.91,3,9.90,1:42.56
1,10.07,1:52.43,4,10.15,1:52.81,2,10.04,1:52.50,5,10.03,1:52.94,3,10.15,1:52.71
1,9.99,2:02.42,3,10.05,2:02.86,2,9.99,2:02.49,4,10.30,2:03.24,5,10.58,2:03.29
2,9.99,2:12.41,3,9.89,2:12.75,1,9.79,2:12.28,4,10.61,2:13.85,5,11.04,2:14.33
2,9.77,2:22.18,3,10.10,2:22.85,1,9.72,2:22.00,4,11.00,2:24.85,5,11.55,2:25.88
2,9.87,2:32.045,3,10.40,2:33.246,1,9.84,2:31.840,4,11.51,2:36.354,5,12.01,2:37.884
