Courtney SHMYR POSITION,Courtney SHMYR LAP TIME,Courtney SHMYR ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
1,17.42,17.42,3,17.67,17.67,4,17.86,17.86,2,17.55,17.55
2,13.36,30.78,4,13.34,31.01,1,12.54,30.40,3,13.37,30.92
2,11.04,41.82,4,10.98,41.99,1,11.20,41.60,3,10.98,41.90
2,10.50,52.32,4,10.55,52.54,1,10.45,52.05,3,10.53,52.43
2,9.79,1:02.11,4,9.77,1:02.31,1,9.81,1:01.86,3,9.79,1:02.22
2,9.57,1:11.68,4,9.57,1:11.88,1,9.56,1:11.42,3,9.52,1:11.74
2,9.13,1:20.81,4,9.25,1:21.13,1,9.36,1:20.78,3,9.19,1:20.93
2,9.68,1:30.49,3,9.43,1:30.56,4,9.93,1:30.71,1,9.33,1:30.26
0,,PEN,2,9.49,1:40.047,3,9.46,1:40.167,1,9.56,1:39.820
