SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME
2,14.05,14.05,1,13.94,13.94,4,14.14,14.14,3,14.13,14.13,5,14.35,14.35
3,10.36,24.41,2,10.37,24.31,4,10.38,24.52,1,9.97,24.10,5,10.30,24.65
3,9.71,34.12,2,9.74,34.05,4,9.67,34.19,1,9.86,33.96,5,9.79,34.44
3,9.79,43.91,2,9.75,43.80,4,9.83,44.02,1,9.75,43.71,5,9.83,44.27
2,9.57,53.48,3,9.77,53.57,4,9.68,53.70,1,9.77,53.48,5,9.97,54.24
1,9.34,1:02.82,2,9.31,1:02.88,4,9.52,1:03.22,3,9.69,1:03.17,5,10.62,1:04.86
2,9.18,1:12.00,1,9.00,1:11.88,5,23.64,1:26.86,3,9.76,1:12.93,4,11.06,1:15.92
2,9.05,1:21.05,1,9.10,1:20.98,5,14.69,1:41.55,3,10.00,1:22.93,4,11.35,1:27.27
2,9.64,1:30.688,1,9.53,1:30.511,5,12.51,1:54.057,3,10.42,1:33.341,4,13.84,1:41.109
