DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Jose Ignacio FAZIO POSITION,Jose Ignacio FAZIO LAP TIME,Jose Ignacio FAZIO ELAPSED TIME,Dawid RZEMIENIECKI POSITION,Dawid RZEMIENIECKI LAP TIME,Dawid RZEMIENIECKI ELAPSED TIME
4,9.08,9.08,2,8.72,8.72,5,9.33,9.33,3,8.83,8.83,1,8.70,8.70
4,12.34,21.42,2,12.44,21.16,5,12.28,21.61,3,12.44,21.27,1,12.44,21.14
3,11.11,32.53,1,11.11,32.27,5,11.40,33.01,4,11.39,32.66,2,11.25,32.39
2,10.33,42.86,1,10.49,42.76,5,10.40,43.41,4,10.46,43.12,3,10.62,43.01
2,10.01,52.87,1,10.01,52.77,5,9.87,53.28,4,9.99,53.11,3,9.97,52.98
2,9.86,1:02.73,1,9.84,1:02.61,5,9.78,1:03.06,4,9.84,1:02.95,3,9.86,1:02.84
2,9.91,1:12.64,1,9.93,1:12.54,4,9.78,1:12.84,5,9.92,1:12.87,3,9.91,1:12.75
3,9.56,1:22.20,2,9.57,1:22.11,1,9.25,1:22.09,5,10.01,1:22.88,4,9.59,1:22.34
3,9.23,1:31.43,2,9.22,1:31.33,1,8.90,1:30.99,5,10.28,1:33.16,4,9.35,1:31.69
3,9.24,1:40.67,2,9.26,1:40.59,1,8.86,1:39.85,5,10.60,1:43.76,4,9.20,1:40.89
3,9.57,1:50.24,2,9.56,1:50.15,1,8.98,1:48.83,5,11.10,1:54.86,4,9.46,1:50.35
2,9.51,1:59.75,3,9.95,2:00.10,1,9.20,1:58.03,5,11.41,2:06.27,4,9.84,2:00.19
2,9.65,2:09.40,3,10.36,2:10.46,1,10.17,2:08.20,5,11.76,2:18.03,4,10.27,2:10.46
2,10.11,2:19.506,4,12.17,2:22.626,1,10.91,2:19.107,5,12.36,2:30.382,3,10.58,2:21.031
