LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Vincent COURNOYER POSITION,Vincent COURNOYER LAP TIME,Vincent COURNOYER ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
1,9.00,9.00,4,9.34,9.34,6,9.68,9.68,2,9.19,9.19,5,9.53,9.53,3,9.31,9.31
1,13.11,22.11,5,13.16,22.50,6,13.07,22.75,4,13.18,22.37,3,12.81,22.34,2,12.92,22.23
1,12.41,34.52,5,12.47,34.97,6,12.39,35.14,2,12.25,34.62,4,12.52,34.86,3,12.46,34.69
1,10.74,45.26,5,10.63,45.60,6,10.60,45.74,3,10.71,45.33,4,10.53,45.39,2,10.57,45.26
4,10.54,55.80,5,10.36,55.96,6,10.24,55.98,2,10.32,55.65,3,10.33,55.72,1,10.39,55.65
4,9.87,1:05.67,6,9.97,1:05.93,1,9.41,1:05.39,2,9.83,1:05.48,5,10.02,1:05.74,3,9.95,1:05.60
4,9.70,1:15.37,6,9.71,1:15.64,1,9.76,1:15.15,2,9.75,1:15.23,5,9.80,1:15.54,3,9.71,1:15.31
1,9.14,1:24.51,5,9.23,1:24.87,2,9.49,1:24.64,3,9.49,1:24.72,6,9.38,1:24.92,4,9.48,1:24.79
2,9.37,1:33.88,5,9.35,1:34.22,1,9.19,1:33.83,3,9.28,1:34.00,6,9.41,1:34.33,4,9.32,1:34.11
2,9.27,1:43.15,5,9.21,1:43.43,1,9.24,1:43.07,3,9.25,1:43.25,6,9.21,1:43.54,4,9.20,1:43.31
2,9.08,1:52.23,4,8.98,1:52.41,1,9.04,1:52.11,5,9.28,1:52.53,6,9.03,1:52.57,3,9.04,1:52.35
2,9.00,2:01.23,4,8.94,2:01.35,1,8.84,2:00.95,6,9.25,2:01.78,5,9.03,2:01.60,3,8.98,2:01.33
3,9.11,2:10.34,2,8.87,2:10.22,1,8.74,2:09.69,6,8.97,2:10.75,5,8.95,2:10.55,4,9.05,2:10.38
5,9.57,2:19.904,2,9.09,2:19.303,1,8.93,2:18.616,6,9.24,2:19.983,4,9.19,2:19.735,3,9.24,2:19.620
