Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME,Thomas MOGENDORFF POSITION,Thomas MOGENDORFF LAP TIME,Thomas MOGENDORFF ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
2,13.393,13.393,3,13.441,13.441,5,13.875,13.875,4,13.735,13.735,1,13.187,13.187
2,10.008,23.401,3,10.068,23.509,5,9.850,23.724,4,9.812,23.547,1,10.014,23.201
3,10.129,33.530,2,9.992,33.500,5,10.277,34.001,4,10.150,33.697,1,10.023,33.224
3,9.825,43.355,2,9.852,43.351,5,9.715,43.715,4,9.773,43.469,1,10.024,43.247
1,9.533,52.887,2,9.669,53.020,5,9.974,53.689,4,9.612,53.081,3,9.825,53.072
1,9.465,1:02.352,2,9.620,1:02.640,4,9.260,1:02.948,5,9.952,1:03.032,3,9.693,1:02.764
1,9.407,1:11.758,2,9.585,1:12.225,3,9.543,1:12.490,5,9.837,1:12.869,4,9.773,1:12.536
1,9.695,1:21.452,3,9.937,1:22.162,2,9.300,1:21.790,5,9.626,1:22.495,4,9.907,1:22.443
1,9.99,1:31.442,3,10.18,1:32.342,2,9.70,1:31.481,5,10.21,1:32.702,4,10.06,1:32.501
