Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
3,9.933,9.933,2,9.925,9.925,1,9.717,9.717,4,10.226,10.226
1,13.276,23.209,4,13.348,23.272,2,13.498,23.214,3,13.005,23.230
2,12.629,35.838,3,12.691,35.963,1,12.475,35.688,4,12.784,36.014
3,12.664,48.501,2,12.535,48.498,1,12.526,48.214,4,12.679,48.692
2,12.777,1:01.278,3,12.886,1:01.384,1,12.751,1:00.965,4,12.738,1:01.430
2,12.296,1:13.573,4,12.515,1:13.899,1,12.555,1:13.519,3,12.439,1:13.869
1,10.817,1:24.390,2,10.752,1:24.650,3,11.154,1:24.673,4,10.975,1:24.843
1,10.929,1:35.319,3,10.920,1:35.570,2,10.841,1:35.514,4,10.858,1:35.701
1,10.786,1:46.104,3,11.008,1:46.578,2,10.879,1:46.392,4,10.953,1:46.653
1,10.133,1:56.236,3,10.409,1:56.986,2,9.943,1:56.335,4,10.353,1:57.005
1,10.008,2:06.244,4,10.647,2:07.632,2,10.032,2:06.367,3,9.672,2:06.677
1,10.093,2:16.336,4,11.005,2:18.637,2,10.188,2:16.555,3,10.000,2:16.676
1,10.205,2:26.541,4,11.171,2:29.808,2,10.105,2:26.659,3,10.281,2:26.957
1,10.08,2:36.621,4,11.51,2:41.313,2,10.17,2:36.828,3,10.99,2:37.944
