DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,Tereza PFEIFEROVA POSITION,Tereza PFEIFEROVA LAP TIME,Tereza PFEIFEROVA ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME
1,9.43,9.43,2,9.65,9.65,7,10.31,10.31,3,9.78,9.78,4,9.90,9.90,5,10.15,10.15,6,10.23,10.23
2,12.57,22.00,3,12.57,22.22,7,12.33,22.64,4,12.53,22.31,6,12.71,22.61,5,12.33,22.48,1,11.66,21.89
2,11.61,33.61,3,11.64,33.86,6,11.44,34.08,4,11.65,33.96,7,11.55,34.16,5,11.57,34.05,1,11.60,33.49
3,11.71,45.32,2,11.41,45.27,7,11.79,45.87,5,11.62,45.58,6,11.56,45.72,4,11.43,45.48,1,11.70,45.19
5,11.40,56.72,1,11.18,56.45,7,11.05,56.92,2,10.88,56.46,6,11.08,56.80,4,11.12,56.60,3,11.34,56.53
6,10.92,1:07.64,1,10.79,1:07.24,3,10.42,1:07.34,2,10.87,1:07.33,7,10.95,1:07.75,5,10.93,1:07.53,4,10.89,1:07.42
6,10.42,1:18.06,1,10.29,1:17.53,2,10.27,1:17.61,3,10.37,1:17.70,6,10.31,1:18.06,5,10.42,1:17.95,4,10.43,1:17.85
7,10.71,1:28.77,1,10.57,1:28.10,2,10.56,1:28.17,3,10.59,1:28.29,6,10.56,1:28.62,5,10.50,1:28.45,4,10.57,1:28.42
7,10.19,1:38.96,1,10.32,1:38.42,2,10.32,1:38.49,5,10.50,1:38.79,6,10.22,1:38.84,3,10.15,1:38.60,4,10.33,1:38.75
7,10.29,1:49.25,1,10.10,1:48.52,2,10.10,1:48.59,5,10.16,1:48.95,6,10.23,1:49.07,3,10.13,1:48.73,4,10.09,1:48.84
7,10.17,1:59.42,1,9.81,1:58.33,2,9.84,1:58.43,5,9.83,1:58.78,6,9.81,1:58.88,3,9.81,1:58.54,4,9.82,1:58.66
7,10.53,2:09.95,1,9.47,2:07.80,2,9.48,2:07.91,5,9.48,2:08.26,6,9.55,2:08.43,3,9.49,2:08.03,4,9.43,2:08.09
7,10.82,2:20.77,1,9.30,2:17.10,3,9.52,2:17.43,5,9.35,2:17.61,6,9.53,2:17.96,4,9.52,2:17.55,2,9.06,2:17.15
7,11.17,2:31.942,2,9.54,2:26.647,5,10.11,2:27.548,3,9.70,2:27.310,6,9.68,2:27.649,4,9.85,2:27.400,1,9.20,2:26.352
