START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,season,competition,event,gender,round,race
2,7.650,7.650,4,7.920,7.920,6,8.050,8.050,3,7.700,7.700,8,8.370,8.370,1,7.510,7.510,7,8.140,8.140,5,7.970,7.970,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
3,10.890,18.550,5,10.720,18.640,4,10.530,18.590,2,10.650,18.350,7,10.500,18.880,1,10.690,18.200,6,10.650,18.800,8,10.980,18.950,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
5,9.970,28.520,4,9.800,28.450,2,9.610,28.200,1,9.700,28.060,8,10.080,28.960,3,9.990,28.200,7,10.140,28.950,6,9.970,28.920,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
4,9.930,38.460,5,10.070,38.520,3,10.000,38.200,1,10.060,38.120,8,9.880,38.850,2,9.960,38.170,7,9.850,38.810,6,9.790,38.720,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
3,9.770,48.240,5,9.720,48.240,2,9.810,48.020,4,10.120,48.240,7,9.720,48.570,1,9.690,47.860,8,9.770,48.580,6,9.790,48.510,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
3,9.400,57.640,5,9.460,57.710,7,9.800,57.820,2,9.350,57.600,6,9.210,57.790,4,9.810,57.680,8,9.520,58.100,1,8.860,57.370,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
1,9.190,1:06.830,6,9.430,1:07.150,8,9.460,1:07.290,2,9.240,1:06.850,4,9.170,1:06.960,3,9.210,1:06.890,7,9.060,1:07.170,5,9.690,1:07.060,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
7,10.010,1:16.850,5,9.510,1:16.660,8,9.580,1:16.870,1,9.310,1:16.160,4,9.530,1:16.490,3,9.550,1:16.450,6,9.600,1:16.770,2,9.310,1:16.380,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
8,9.910,1:26.760,5,9.680,1:26.340,6,9.500,1:26.370,4,10.160,1:26.330,2,9.660,1:26.150,3,9.710,1:26.160,7,9.680,1:26.460,1,9.690,1:26.070,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
8,9.170,1:35.930,7,9.490,1:35.830,6,9.440,1:35.820,2,9.270,1:35.600,5,9.590,1:35.750,4,9.580,1:35.740,3,9.250,1:35.710,1,9.480,1:35.560,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
6,9.600,1:45.540,3,9.450,1:45.290,8,9.860,1:45.680,4,9.830,1:45.440,1,9.200,1:44.960,2,9.430,1:45.180,7,9.850,1:45.560,5,9.880,1:45.450,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
6,10.010,1:55.550,3,9.420,1:54.710,8,10.390,1:56.080,1,8.450,1:53.890,2,9.580,1:54.550,7,10.600,1:55.780,4,9.710,1:55.280,5,9.940,1:55.400,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
3,9.600,2:05.150,8,39.130,2:33.850,7,10.220,2:06.300,2,11.040,2:04.930,1,9.410,2:03.960,6,10.170,2:05.950,4,9.890,2:05.170,5,9.960,2:05.360,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
2,9.860,2:15.010,,,,6,10.550,2:16.850,7,12.000,2:16.940,1,9.940,2:13.910,5,10.730,2:16.680,4,10.320,2:15.500,3,9.940,2:15.310,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Semifinals,3
