HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
1,12.39,12.39,4,12.65,12.65,2,12.53,12.53,5,12.89,12.89,3,12.60,12.60
1,9.31,21.70,4,9.38,22.03,2,9.26,21.79,5,9.24,22.13,3,9.29,21.89
1,9.21,30.91,4,9.13,31.16,3,9.23,31.02,5,9.20,31.33,2,9.12,31.01
2,9.00,39.91,4,8.91,40.07,3,8.98,40.00,5,8.90,40.23,1,8.79,39.80
1,8.85,48.76,4,9.00,49.07,3,8.94,48.94,5,8.96,49.19,2,9.04,48.84
1,8.98,57.74,4,8.96,58.03,2,8.89,57.83,5,9.05,58.24,3,9.08,57.92
1,8.95,1:06.69,4,8.95,1:06.98,2,8.95,1:06.78,5,8.96,1:07.20,3,8.92,1:06.84
1,9.02,1:15.71,4,9.26,1:16.24,3,9.19,1:15.97,5,9.12,1:16.32,2,8.95,1:15.79
1,9.18,1:24.89,4,9.59,1:25.83,3,9.22,1:25.19,5,9.67,1:25.99,2,9.19,1:24.98
