LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Tarik OMERAGIC POSITION,Tarik OMERAGIC LAP TIME,Tarik OMERAGIC ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME
2,9.21,9.21,6,9.57,9.57,5,9.44,9.44,7,9.71,9.71,4,9.43,9.43,1,9.12,9.12,3,9.27,9.27
7,11.78,20.99,4,11.24,20.81,2,11.23,20.67,5,11.19,20.90,1,11.16,20.59,6,11.79,20.91,3,11.47,20.74
7,11.07,32.06,4,10.99,31.80,3,10.95,31.62,2,10.64,31.54,1,10.89,31.48,6,11.05,31.96,5,11.15,31.89
6,11.32,43.38,4,11.36,43.16,3,11.43,43.05,2,11.37,42.91,1,11.32,42.80,7,11.44,43.40,5,11.39,43.28
3,11.12,54.50,5,11.58,54.74,4,11.54,54.59,2,11.54,54.45,1,11.54,54.34,7,11.58,54.98,6,11.59,54.87
5,11.43,1:05.93,4,11.16,1:05.90,3,11.22,1:05.81,2,11.25,1:05.70,1,11.25,1:05.59,7,11.24,1:06.22,6,11.27,1:06.14
6,10.76,1:16.69,4,10.64,1:16.54,3,10.70,1:16.51,2,10.69,1:16.39,1,10.69,1:16.28,7,10.59,1:16.81,5,10.45,1:16.59
6,9.79,1:26.48,5,9.68,1:26.22,4,9.69,1:26.20,3,9.67,1:26.06,2,9.69,1:25.97,7,9.76,1:26.57,1,9.27,1:25.86
6,9.41,1:35.89,5,9.47,1:35.69,4,9.45,1:35.65,3,9.44,1:35.50,2,9.39,1:35.36,7,9.41,1:35.98,1,9.46,1:35.32
6,9.59,1:45.48,4,9.31,1:45.00,4,9.35,1:45.00,3,9.42,1:44.92,2,9.51,1:44.87,7,9.58,1:45.56,1,9.52,1:44.84
6,9.86,1:55.34,4,9.43,1:54.43,5,9.67,1:54.67,3,9.50,1:54.42,1,9.36,1:54.23,7,9.86,1:55.42,2,9.47,1:54.31
6,10.25,2:05.59,4,9.45,2:03.88,5,9.74,2:04.41,3,9.35,2:03.77,1,9.35,2:03.58,7,10.24,2:05.66,2,9.35,2:03.66
7,11.18,2:16.77,4,9.36,2:13.24,5,10.35,2:14.76,3,9.30,2:13.07,1,9.28,2:12.86,6,10.66,2:16.32,2,9.26,2:12.92
7,11.62,2:28.39,4,9.36,2:22.60,5,10.99,2:25.75,3,9.29,2:22.36,0,9.44,2:22.30,6,10.83,2:27.15,0,9.40,2:22.32
