Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Tomasz WROBLEWSKI POSITION,Tomasz WROBLEWSKI LAP TIME,Tomasz WROBLEWSKI ELAPSED TIME,Shani DAVIS POSITION,Shani DAVIS LAP TIME,Shani DAVIS ELAPSED TIME
2,7.900,7.900,4,8.340,8.340,1,7.600,7.600,3,8.110,8.110,5,8.340,8.340,6,8.630,8.630
2,10.470,18.370,4,10.230,18.580,1,10.600,18.200,5,10.510,18.630,3,10.180,18.530,6,10.180,18.810
3,10.540,28.910,5,10.500,29.080,1,10.570,28.780,2,10.150,28.790,4,10.420,28.960,6,10.330,29.150
5,10.310,39.220,6,10.140,39.230,3,10.380,39.170,1,9.930,38.720,4,10.240,39.200,2,9.770,38.920
4,9.940,49.170,5,10.070,49.310,3,9.890,49.070,2,10.260,48.990,6,10.200,49.400,1,9.870,48.800
3,10.340,59.510,6,10.710,1:00.020,2,10.220,59.290,5,10.740,59.740,4,10.140,59.550,1,10.450,59.260
6,10.360,1:09.880,5,9.820,1:09.850,3,10.240,1:09.530,2,9.770,1:09.510,4,10.180,1:09.730,1,10.130,1:09.390
6,9.860,1:19.750,2,9.650,1:19.500,3,9.980,1:19.510,1,9.920,1:19.440,5,9.870,1:19.600,4,10.110,1:19.510
5,9.840,1:29.590,1,9.570,1:29.080,3,9.890,1:29.400,6,10.220,1:29.660,4,9.940,1:29.550,2,9.760,1:29.270
5,9.610,1:39.210,2,10.030,1:39.120,3,9.710,1:39.120,4,9.530,1:39.200,6,10.470,1:40.030,1,9.620,1:38.900
5,9.610,1:48.820,2,9.350,1:48.480,4,9.650,1:48.770,1,9.270,1:48.470,6,10.990,1:51.020,3,9.670,1:48.580
5,9.640,1:58.460,1,9.640,1:58.120,3,9.540,1:58.310,4,9.980,1:58.450,6,11.490,2:02.520,2,9.660,1:58.250
5,9.820,2:08.290,2,9.910,2:08.030,3,9.740,2:08.060,4,9.610,2:08.070,6,12.110,2:14.630,1,9.640,2:07.890
4,10.070,2:18.370,1,9.830,2:17.870,2,9.810,2:17.880,5,10.420,2:18.490,6,12.610,2:27.250,3,9.990,2:17.880
