Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Leon BLOEMHOF POSITION,Leon BLOEMHOF LAP TIME,Leon BLOEMHOF ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME
2,6.99,6.99,1,6.84,6.84,3,7.09,7.09,4,7.33,7.33
2,9.01,16.00,1,9.05,15.89,3,8.97,16.06,4,8.90,16.23
2,8.71,24.71,1,8.58,24.47,2,8.65,24.71,4,8.63,24.86
4,9.04,33.75,1,8.76,33.23,2,8.82,33.53,3,8.81,33.67
4,10.63,44.383,0,9.11,42.34,0,8.83,42.36,3,8.88,42.554
