AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
4,14.15,14.15,3,14.02,14.02,5,14.26,14.26,2,13.93,13.93,1,13.83,13.83
4,10.75,24.90,3,10.76,24.78,5,10.78,25.04,2,10.75,24.68,1,10.76,24.59
4,11.08,35.98,3,11.04,35.82,5,11.06,36.10,2,11.03,35.71,1,10.96,35.55
4,10.66,46.64,3,10.67,46.49,5,10.61,46.71,1,10.60,46.31,2,10.76,46.31
4,9.91,56.55,3,9.91,56.40,5,10.03,56.74,1,9.87,56.18,2,9.99,56.30
3,9.67,1:06.22,4,9.82,1:06.22,5,9.73,1:06.47,1,9.75,1:05.93,2,9.74,1:06.04
1,9.16,1:15.38,2,9.48,1:15.70,3,9.38,1:15.85,4,15.99,1:21.92,5,26.21,1:32.25
1,9.28,1:24.66,2,9.35,1:25.05,3,9.42,1:25.27,4,15.84,1:37.76,5,15.94,1:48.19
1,9.62,1:34.274,2,9.62,1:34.662,3,9.63,1:34.896,0,,PEN,4,12.34,2:00.525
