Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,SEO Whi Min POSITION,SEO Whi Min LAP TIME,SEO Whi Min ELAPSED TIME,NOH Ah Rum POSITION,NOH Ah Rum LAP TIME,NOH Ah Rum ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
3,13.35,13.35,2,13.18,13.18,1,13.06,13.06,4,13.48,,5,13.62,13.62
3,9.73,23.08,2,9.74,22.92,1,9.76,22.82,4,9.68,,5,9.69,23.31
3,9.44,32.52,2,9.53,32.45,1,9.50,32.32,4,9.46,,5,9.47,32.78
1,9.23,41.75,3,9.31,41.76,1,9.43,41.75,4,9.26,,5,9.27,42.05
1,9.32,51.07,2,9.51,51.27,3,9.53,51.28,4,9.46,,5,9.38,51.43
1,9.46,1:00.53,2,9.33,1:00.60,3,9.44,1:00.72,4,9.49,,5,9.53,1:00.96
1,9.37,1:09.90,2,9.48,1:10.08,3,9.48,1:10.20,4,9.45,,5,9.60,1:10.56
1,9.49,1:19.39,2,9.51,1:19.59,3,9.46,1:19.66,4,9.50,,5,10.03,1:20.59
1,9.69,1:29.08,4,10.45,1:30.04,3,10.19,1:29.85,2,9.61,,4,10.77,1:31.368
