SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,10.79,10.79,3,11.06,11.06,5,11.48,11.48,2,10.82,10.82,6,11.62,11.62,4,11.31,11.31
2,14.60,25.39,3,14.49,25.55,5,14.41,25.89,1,14.32,25.14,6,14.38,26.00,4,14.42,25.73
2,12.47,37.86,3,12.47,38.02,5,12.40,38.29,1,12.69,37.83,6,12.41,38.41,4,12.34,38.07
2,10.84,48.70,5,10.87,48.89,4,10.59,48.88,3,10.94,48.77,6,10.59,49.00,1,10.54,48.61
2,9.72,58.42,6,9.89,58.78,1,9.47,58.35,4,9.78,58.55,4,9.55,58.55,3,9.90,58.51
1,9.57,1:07.99,6,9.68,1:08.46,2,9.75,1:08.10,4,9.69,1:08.24,5,9.75,1:08.30,3,9.70,1:08.21
2,9.30,1:17.29,6,9.23,1:17.69,1,9.14,1:17.24,5,9.33,1:17.57,3,9.09,1:17.39,4,9.28,1:17.49
2,9.45,1:26.74,5,9.22,1:26.91,1,9.47,1:26.71,3,9.20,1:26.77,4,9.45,1:26.84,6,9.47,1:26.96
3,9.20,1:35.94,4,9.11,1:36.02,2,9.17,1:35.88,1,9.01,1:35.78,5,9.20,1:36.04,6,9.25,1:36.21
2,9.06,1:45.00,5,9.20,1:45.22,1,9.05,1:44.93,4,9.33,1:45.11,3,9.04,1:45.08,6,9.09,1:45.30
2,9.34,1:54.34,5,9.42,1:54.64,1,9.31,1:54.24,4,9.44,1:54.55,3,9.36,1:54.44,6,9.54,1:54.84
2,9.27,2:03.61,5,9.26,2:03.90,1,9.22,2:03.46,4,9.25,2:03.80,3,9.22,2:03.66,6,9.21,2:04.05
6,9.83,2:13.44,4,9.43,2:13.33,1,9.30,2:12.76,3,9.30,2:13.10,2,9.29,2:12.95,5,9.37,2:13.42
6,10.57,2:24.010,4,9.56,2:22.899,1,9.49,2:22.253,3,9.39,2:22.491,2,9.47,2:22.424,5,9.70,2:23.125
