MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME
1,7.26,7.26,2,7.39,7.39,4,7.84,7.84,3,7.48,7.48
1,9.37,16.63,2,9.35,16.74,4,9.82,17.66,3,9.33,16.81
3,9.23,25.86,1,8.87,25.61,4,9.21,26.87,2,8.87,25.68
3,9.22,35.08,1,9.28,34.89,4,9.48,36.35,1,9.21,34.89
3,9.41,44.494,2,9.46,44.35,4,9.84,46.191,1,9.36,44.25
