BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME
1,6.88,6.88,2,7.05,7.05,3,7.11,7.11,4,7.20,7.20
1,9.21,16.09,2,9.09,16.14,3,9.20,16.31,4,9.25,16.45
2,8.88,24.97,1,8.72,24.86,3,8.79,25.10,4,8.67,25.12
4,9.23,34.20,1,8.84,33.70,2,8.86,33.96,3,9.03,34.15
4,9.37,43.561,1,9.15,42.848,2,9.11,43.067,3,9.04,43.186
