VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
3,14.40,14.40,2,14.39,14.39,4,14.56,14.56,1,14.39,14.39
3,10.45,24.85,2,10.31,24.70,4,10.43,24.99,1,10.05,24.44
3,9.81,34.66,2,9.87,34.57,4,9.82,34.81,1,10.03,34.47
3,10.17,44.83,2,10.14,44.71,4,10.15,44.96,1,10.14,44.61
3,10.34,55.17,2,10.36,55.07,4,10.32,55.28,1,10.36,54.97
2,10.25,1:05.42,1,10.11,1:05.18,4,10.37,1:05.65,3,10.46,1:05.43
2,9.92,1:15.34,1,10.03,1:15.21,3,10.16,1:15.81,4,10.48,1:15.91
2,9.97,1:25.31,1,9.99,1:25.20,3,10.27,1:26.08,4,11.08,1:26.99
2,10.30,1:35.604,1,10.19,1:35.389,3,10.77,1:36.844,4,11.60,1:38.589
