HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
4,13.98,13.98,2,13.65,13.65,1,13.54,13.54,3,13.77,13.77
4,10.99,24.97,2,11.06,24.71,1,10.99,24.53,3,11.05,24.82
4,10.88,35.85,2,10.91,35.62,1,10.98,35.51,3,10.90,35.72
4,10.70,46.55,2,10.70,46.32,1,10.74,46.25,3,10.70,46.42
4,10.20,56.75,3,10.24,56.56,1,10.18,56.43,2,10.13,56.55
4,9.75,1:06.50,2,9.64,1:06.20,3,10.06,1:06.49,1,9.63,1:06.18
3,9.65,1:16.15,2,9.85,1:16.05,4,9.98,1:16.47,1,9.85,1:16.03
3,9.69,1:25.84,1,9.53,1:25.58,4,10.10,1:26.57,2,9.66,1:25.69
3,9.74,1:35.58,1,9.89,1:35.47,4,10.90,1:37.47,2,9.86,1:35.55
