Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,CUI Liang POSITION,CUI Liang LAP TIME,CUI Liang ELAPSED TIME,Martin JOHANSSON POSITION,Martin JOHANSSON LAP TIME,Martin JOHANSSON ELAPSED TIME
3,10.364,10.364,2,9.827,9.827,6,10.650,10.650,4,10.421,10.421,5,10.445,10.445,1,9.807,9.807
3,13.279,23.643,2,13.623,23.449,5,13.388,24.038,4,13.307,23.727,6,13.627,24.072,1,13.516,23.322
4,12.315,35.957,2,12.378,35.827,5,12.220,36.257,3,12.193,35.920,6,12.311,36.383,1,12.359,35.681
5,11.868,47.825,3,11.888,47.714,4,11.566,47.823,1,11.738,47.658,6,11.507,47.890,2,11.988,47.668
6,10.296,58.120,5,10.229,57.943,2,10.013,57.835,1,10.044,57.701,3,9.987,57.876,4,10.251,57.919
6,9.366,1:07.485,4,9.359,1:07.301,2,9.401,1:07.236,1,9.397,1:07.098,3,9.419,1:07.294,5,9.446,1:07.365
6,9.762,1:17.247,3,9.644,1:16.945,5,9.742,1:16.977,1,9.664,1:16.761,4,9.662,1:16.955,2,9.414,1:16.779
6,9.480,1:26.727,5,9.425,1:26.370,4,9.354,1:26.331,1,9.243,1:26.004,3,9.356,1:26.311,2,9.295,1:26.073
5,9.156,1:35.882,4,9.243,1:35.612,6,9.628,1:35.958,1,9.236,1:35.240,3,9.231,1:35.541,2,9.288,1:35.361
5,9.678,1:45.560,4,9.273,1:44.885,6,9.608,1:45.566,1,9.134,1:44.373,3,9.145,1:44.686,2,9.195,1:44.555
5,9.624,1:55.184,4,9.483,1:54.367,6,9.739,1:55.305,1,9.125,1:53.498,3,9.248,1:53.934,2,9.239,1:53.794
5,9.903,2:05.086,4,9.838,2:04.204,6,10.010,2:05.314,1,9.147,2:02.644,3,9.513,2:03.447,2,9.587,2:03.381
5,10.020,2:15.106,4,10.230,2:14.434,6,10.542,2:15.855,1,9.549,2:12.192,2,9.902,2:13.348,3,10.181,2:13.561
5,10.99,2:26.089,4,10.68,2:25.108,6,11.24,2:27.094,1,10.73,2:22.922,2,10.56,2:23.899,3,11.00,2:24.555
