Emil KARNEEV POSITION,Emil KARNEEV LAP TIME,Emil KARNEEV ELAPSED TIME,LEE Hyo Been POSITION,LEE Hyo Been LAP TIME,LEE Hyo Been ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,LIU Songbo POSITION,LIU Songbo LAP TIME,LIU Songbo ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME
5,8.88,8.88,6,9.05,9.05,3,8.58,8.58,4,8.69,8.69,1,8.43,8.43,2,8.46,8.46
5,10.99,19.87,6,10.97,20.02,3,11.02,19.60,4,11.04,19.73,2,11.06,19.49,1,10.93,19.39
5,10.97,30.84,6,10.96,30.98,3,10.99,30.59,4,10.99,30.72,2,10.98,30.47,1,10.97,30.36
5,10.70,41.54,6,10.74,41.72,3,10.70,41.29,4,10.67,41.39,2,10.73,41.20,1,10.76,41.12
5,10.35,51.89,6,10.36,52.08,4,10.40,51.69,3,10.30,51.69,2,10.37,51.57,1,10.36,51.48
5,9.78,1:01.67,6,9.76,1:01.84,4,9.96,1:01.65,3,9.88,1:01.57,2,9.88,1:01.45,1,9.86,1:01.34
4,9.40,1:11.07,6,9.52,1:11.36,5,9.55,1:11.20,3,9.37,1:10.94,2,9.39,1:10.84,1,9.39,1:10.73
4,9.11,1:20.18,6,9.09,1:20.45,5,9.08,1:20.28,3,9.13,1:20.07,2,9.15,1:19.99,1,9.16,1:19.89
4,9.38,1:29.56,6,9.31,1:29.76,5,9.30,1:29.58,3,9.39,1:29.46,2,9.38,1:29.37,1,9.39,1:29.28
5,9.61,1:39.17,6,9.60,1:39.36,3,9.44,1:39.02,4,9.59,1:39.05,2,9.53,1:38.90,1,9.58,1:38.86
2,9.20,1:48.37,4,9.37,1:48.73,3,9.68,1:48.70,5,9.72,1:48.77,1,9.38,1:48.28,6,9.96,1:48.82
1,9.29,1:57.66,2,9.05,1:57.78,4,9.84,1:58.54,5,9.89,1:58.66,3,9.77,1:58.05,6,10.34,1:59.16
1,9.36,2:07.02,2,9.43,2:07.21,4,9.64,2:08.18,5,9.65,2:08.31,3,9.91,2:07.96,6,10.30,2:09.46
1,9.77,2:16.789,2,9.92,2:17.129,3,9.99,2:18.162,4,10.00,2:18.302,5,10.43,2:18.384,0,,PEN
